,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,total_score,VISIT_AREA_NM_encoded
257,1,30,1,1,1,1,이너프,1.0,190
258,0,30,1,1,2,3,인터포레스트,1.0,196
259,0,30,1,1,1,3,제주샘주,0.75,215
260,1,30,1,3,1,1,제주개생활연구소,0.9166666666666664,201
261,0,30,2,3,1,1,제주국제평화센터,0.75,204
262,1,30,2,1,1,2,제주기와,1.0,205
263,1,20,1,1,1,1,제주다,1.0,206
264,0,30,2,2,1,1,제주오름승마랜드,1.0,223
265,1,30,1,1,1,1,제주코기네,1.0,228
266,1,20,3,2,2,2,제주펫,1.0,229
267,0,20,1,1,1,1,제주플래티늄카라반,0.8333333333333333,230
268,0,20,1,1,2,3,제주한라병원,0.0,232
269,1,30,1,1,1,3,제주홀스타승마장,0.6666666666666666,236
270,1,30,1,3,3,1,조안베어뮤지엄,0.75,237
271,1,30,3,1,1,1,중문승마공원,0.75,241
272,1,30,2,2,1,1,짚불도,0.4166666666666666,242
273,1,20,1,1,1,2,취다선리조트,1.0,250
274,1,20,1,1,1,2,플레이스엉물,0.6666666666666666,274
275,0,20,2,1,1,1,친봉산장,1.0,251
276,0,40,1,1,1,2,카페글렌코,0.75,252
277,1,20,1,1,1,2,카페라라라,0.8333333333333333,254
278,1,40,1,1,3,1,카페느슨,1.0,253
279,0,20,1,1,1,1,카페록록,1.0,255
280,1,30,1,1,1,2,카페물결,1.0,256
281,0,30,1,1,1,1,카페유주,1.0,257
282,1,30,2,1,3,1,캐릭파크,1.0,258
283,1,30,2,1,3,1,파파빌레,0.3333333333333332,270
284,1,30,1,2,1,1,캔디원,0.8333333333333333,259
285,0,20,1,1,1,1,캠파제주,0.4166666666666666,260
286,1,20,1,1,1,2,캣츠앤독스,1.0,261
287,0,20,1,1,1,3,코난해변,1.0,262
288,1,20,1,1,1,2,코코메아,1.0,263
289,0,20,1,1,1,1,쿨다이브,0.8333333333333333,264
290,1,50,1,1,1,2,탐라승마장,0.0833333333333333,265
291,1,20,2,1,2,1,테이블앤데스크,1.0,266
292,1,30,3,1,3,1,토이파크,0.3333333333333332,267
293,0,20,1,1,1,3,파인더웨이브,0.8333333333333333,269
294,1,20,2,1,1,2,평대리멍석,1.0,271
295,0,40,1,1,1,3,포레스트사파리,1.0,272
296,1,20,1,1,1,1,하이제주호텔,0.5,280
297,1,20,1,1,1,1,한국병원,1.0,282
298,0,20,1,1,1,1,한라산아래첫마을,0.75,284
299,1,20,1,1,1,1,한림바다체험마을,1.0,288
300,1,30,1,2,3,1,협재이길,1.0,293
301,0,40,2,2,2,2,호루의한끼,1.0,295
302,1,30,1,1,1,2,후포해변,0.75,298
